trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
65,0,65,0,118.66636010003276,,118.62989790004212,10,118.66636010003276,118.66636010003276,0.020651100028771907,119.67359080002643,120.10793030000059,[-0.43425925925925923],[0.3435185185185185],[1],[0],[0],[1.457795599999372],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
66,0,66,0,120.15049600001657,,120.11051110003609,10,120.15049600001657,120.15049600001657,0.01874819997465238,121.15667500003474,121.44124640000518,[-0.003703703703703704],[0.11944444444444445],[1],[0],[0],[1.3120151999755763],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
67,0,67,0,121.4744451000006,,121.44468990003224,5,121.4744451000006,121.4744451000006,0.01119940000353381,122.48943740001414,123.29076940001687,[0.47685185185185186],[-0.11296296296296296],[1],[0],[0],[1.835145300021395],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
68,0,68,0,123.323695100029,,123.2933998000226,5,123.323695100029,123.323695100029,0.010078400024212897,124.32272430002922,124.92406250000931,[-0.03981481481481482],[-0.23796296296296296],[1],[0],[0],[1.6206168999779038],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
69,0,69,0,124.94353320001392,,124.92747070000041,5,124.94353320001392,124.94353320001392,0.011156700027640909,125.95557960000588,126.19025540002622,[0.007407407407407408],[-0.15648148148148147],[1],[0],[0],[1.251834399998188],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
70,0,70,0,126.2411614000448,,126.19455480005126,10,126.2411614000448,126.2411614000448,0.024067500024102628,127.25512190000154,128.10618970001815,[-0.32222222222222224],[0.3861111111111111],[1],[0],[0],[1.888119600014761],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
71,0,71,0,128.13817910000216,,128.10856730001979,5,128.13817910000216,128.13817910000216,0.00989849999314174,129.13810020004166,129.82286260003457,[0.23796296296296296],[0.030555555555555555],[1],[0],[0],[1.7044272999628447],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
72,0,72,0,129.87138010002673,,129.82692640001187,10,129.87138010002673,129.87138010002673,0.02038560004439205,130.8714635000215,131.87253190000774,[0.4305555555555556],[-0.3333333333333333],[1],[0],[0],[2.0254576000152156],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
73,0,73,0,131.9052405000548,,131.87676590000046,5,131.9052405000548,131.9052405000548,0.013360800046939403,132.90411310002673,133.488919800031,[0.21203703703703702],[0.14629629629629629],[1],[0],[0],[1.599219300027471],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
74,0,74,0,133.53852890001144,,133.49245830002474,10,133.53852890001144,133.53852890001144,0.02099009999074042,134.55392620002385,135.12156940001296,[0.5],[-0.05925925925925926],[1],[0],[0],[1.608604600012768],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
